"新指标无需填写，系统自动生成。
更新指标输入编号","必填：与选项保持一致
/
财务管理
仓储管理
产销协调
客服管理
商品企划
平台运营
营运管理
培训管理
旺礼卡管理",必填：与选项保持一致，选项在分类管理编得/新增，与业务域关联,必填：不可空值,"必填：与选项保持一致1级
2级
3级
4级","必填：与选项保持一致基础指标
存量指标
复合指标
派生指标
非量化指标","有值：指标编号
无值：不填写","必填：与选项保持一致无需计算
待计算
待验证
已上线
已下线",必填：不可空值,"有值：文本输入
无值：不填写","有值：与选项保持一致
无值：不填写或-等于-
考核指标
参考指标
一般指标
-","有值：数字
无值：不填写","有值：数字
无值：不填写","必填：与选项保持一致
见sheet2单位库","有值：文本
无值：不填写","有值：与选项保持一致
格式：XX部
无值：不填写","有值：工号
格式：000XXX23
无值：不填写","有值：姓名
无值：不填写","必填：与选项保持一致按时间进度
不按时间进度
不需计算","必填：与选项保持一致是
否",必填：文本输入,"有值：与选项保持一致
无值：不填写","有值：与选项保持一致
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致，多选用,隔开
时间维度
组织维度
产品维度
渠道维度
行政区划
岗位角色
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写",,,
53,营运管理,管理,已盘点客户数,1级,基础指标,,已下线,需盘点客户中已盘点的客户数,一般指当月,一般指标,,,人,提醒业务进行盘点动作，提高动销，提升业绩体量,,,,按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
54,营运管理,管理,盘点率,3级,基础指标,,已上线,盘点合伙人数/应盘点合伙人数；零食系统组和直营组按合伙人对应的系统计算,"1）应盘点合伙人：1、整月在职的区域总监、城市经理，意向合伙人（即不含处在入离职月中的区域总监、城市经理，合伙人）；2、整月在岗的合伙人（不含当月新开发的），且至今系统下过单（业绩>0）
2）盘点人：按照入离职判断，取上月底在职总监以及城市经理（且当月未离职）（总监在职取该分公司所有符合要求合伙人，总监离职或没有总监取符合条件的城市经理营业所下符合要求合伙人）
3）盘点合伙人数：应盘点合伙人中实际盘点的，包括线下盘点+远程盘点；",一般指标,,,%,提醒业务进行盘点动作，提高动销，提升业绩体量,,,,不按时间进度,是,同月度逻辑,,是,,,ads,ads_bigtable_organization,pdl_54,是,,,,,,,,,每半小时,徐鑫,250725版,
55,营运管理,管理,日均动销数量,1级,基础指标,,已下线,两次盘点期间动销数量/间隔天数,0,一般指标,,,箱,帮助业务合理规划拜访维护时间，提升客情，提升业绩体量,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
56,营运管理,管理,可动销天数,1级,基础指标,,已下线,（最后一次盘点库存数量+盘点后补货数量）/日均动销数量-当前日期距离最后一次盘点日期的间隔天数,0,一般指标,,,天,帮助业务合理规划拜访维护时间，提升客情，提升业绩体量,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
57,营运管理,管理,小标市场覆盖数,2级,基础指标,,已上线,在岗所有类型合伙人对应的小标市场数,0,一般指标,,,个,提升市场覆盖率，提升业绩体量,,,,不按时间进度,否,统计期末数据,是,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
58,营运管理,管理,小标市场覆盖率,2级,基础指标,,已上线,覆盖小标市场数/总小标市场数,0,一般指标,,,%,提升市场覆盖率，提升业绩体量,,,,不按时间进度,否,同月度逻辑,是,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
61,营运管理,管理,客户数,2级,基础指标,,已上线,当前状态为在职的合伙人数,统计周期内最后一天在岗的所有类型合伙人,一般指标,,,人,提升业务人数，提高市场覆盖率，提升业绩体量,,,,不按时间进度,是,统计期末数据,,,0426版实时数据,,,,,,,,,,,,,,,徐鑫,删除,
65,营运管理,管理,客户关闭率,1级,派生指标,,已上线,关闭客户数/(关闭客户数+意向客户数)；零食系统组和直营组指系统,,一般指标,,,%,通过关注离职率，分析并改善业务管理方式，留住更多优秀人才,,,,不按时间进度,是,同月度逻辑,,,0412版实时数据,,ads,ads_bigtable_organization,hhrlzl_65,是,hhrlzl_65_hb,是,hhrlzl_65_tb,是,,,,,每半小时,徐鑫,250725版,
88,商品企划,费用,合伙人进货折扣率,2级,基础指标,,已上线,合伙人供货价/ 建议零售价,0,一般指标,,,%,产品定价和制定合伙人、经销商、二批、终端的利润分配,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,于寒丽,未在指定数据范围中找到对应值。,
89,商品企划,费用,市场费用率（商企）,1级,基础指标,,已上线,商企营销费用/财务收入（去税）,1.财务收入含旺旺经典品项；2.营销费用不含旺旺经典品项，计算费用归属商企的 a.活动（折扣、赠品等，赠品需加上运费）；b. 手工单（福利捐赠、茶歇、试吃等）及运费；c.本月发放的旺金币金额*0.75；d.各项任务返利（现金领取），完成任务时间在当月，合伙人待领取状态下的待发放及合伙人领取状态下的待发放及已发放金额）,一般指标,,,%,用于管控主推产品费用，以便合理调整相关主推政策,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,于寒丽,未在指定数据范围中找到对应值。,
